Date,PM2.5 AQI Value,Site Name,Site ID,Source
09/21/2020,74,Lancaster-division Street,06-037-9033,AQS
09/22/2020,70,Los Angeles-north Main Street,06-037-1103,AQS
09/23/2020,77,Lancaster-division Street,06-037-9033,AQS
09/24/2020,94,Lancaster-division Street,06-037-9033,AQS
09/25/2020,73,North Hollywood (noho),06-037-4010,AQS
09/26/2020,78,Lancaster-division Street,06-037-9033,AQS
09/27/2020,71,Glendora,06-037-0016,AQS
09/28/2020,83,Glendora,06-037-0016,AQS
09/29/2020,65,Anaheim,06-059-0007,AQS
09/30/2020,65,Long Beach-route 710 Near Road,06-037-4008,AQS
10/01/2020,86,Reseda,06-037-1201,AQS
10/02/2020,88,Reseda,06-037-1201,AQS
10/03/2020,112,Lancaster-division Street,06-037-9033,AirNow
10/04/2020,127,Long Beach (south),06-037-4004,AQS
10/05/2020,129,Anaheim,06-059-0007,AQS
10/06/2020,109,Anaheim,06-059-0007,AQS
10/07/2020,94,North Hollywood (noho),06-037-4010,AQS
10/08/2020,84,Reseda,06-037-1201,AQS
10/09/2020,77,Glendora,06-037-0016,AQS
10/10/2020,68,North Hollywood (noho),06-037-4010,AQS
10/11/2020,61,Glendora,06-037-0016,AQS
10/12/2020,63,Long Beach-route 710 Near Road,06-037-4008,AQS
10/13/2020,69,Long Beach-route 710 Near Road,06-037-4008,AQS
10/14/2020,72,Long Beach-route 710 Near Road,06-037-4008,AQS
10/15/2020,73,Long Beach (south),06-037-4004,AQS
10/16/2020,70,North Hollywood (noho),06-037-4010,AQS
10/17/2020,66,Los Angeles-north Main Street,06-037-1103,AQS
10/18/2020,78,Los Angeles-north Main Street,06-037-1103,AQS
10/19/2020,77,Glendora,06-037-0016,AQS
10/20/2020,87,Glendora,06-037-0016,AQS
10/21/2020,100,Glendora,06-037-0016,AQS
10/22/2020,71,Glendora,06-037-0016,AQS
10/23/2020,60,Glendora,06-037-0016,AQS
10/24/2020,55,Glendora,06-037-0016,AQS
10/25/2020,37,Glendora,06-037-0016,AQS
10/26/2020,125,Anaheim,06-059-0007,AQS
10/27/2020,156,Anaheim,06-059-0007,AQS
10/28/2020,124,Anaheim,06-059-0007,AQS
10/29/2020,91,Long Beach (south),06-037-4004,AQS
10/30/2020,79,Anaheim,06-059-0007,AQS
10/31/2020,75,Los Angeles-north Main Street,06-037-1103,AQS
11/01/2020,78,Anaheim,06-059-0007,AQS
11/02/2020,76,Los Angeles-north Main Street,06-037-1103,AQS
11/03/2020,101,Los Angeles-north Main Street,06-037-1103,AQS
11/04/2020,94,Long Beach (south),06-037-4004,AQS
