date, pm25, pm10, o3, no2, so2, co
2015/10/28, 102, 44, 36, 35, 3, 5
2015/10/29, 93, 41, 32, 43, 4, 6
2015/10/30, 87, 36, 35, 29, 4, 4
2015/10/31, 76, 32, 29, 42, 5, 6
2015/11/1, 72, 31, 24, 46, 4, 5
2015/11/2, 67, 46, 44, 37, 5, 5
2015/11/3, 94, 53, 48, 39, 5, 5
2015/11/4, 112, 38, 35, 33, 5, 4
2015/11/5, 81, 26, 23, 28, 3, 4
2015/11/6, 60, 25, 18, 26, 3, 3
2015/11/7, 58, 24, 16, 22, 3, 3
2015/11/8, 58, 23, 14, 32, 4, 4
2015/11/9, 50, 35, 35, 30, 2, 7
2015/11/10, 74, 44, 40, 32, 2, 5
2015/11/11, 92, 37, 32, 30, 2, 4
2015/11/12, 74, 33, 28, 38, 3, 6
2015/11/13, 75, 35, 27, 45, 6, 7
2015/11/14, 76, 33, 31, 23, 3, 4
2015/11/15, 75, 36, 29, 34, 3, 5
2015/11/16, 67, 28, 15, 35, 3, 5
2015/11/17, 58, 26, 12, 35, 8, 6
2015/11/18, 60, 27, 17, 31, 7, 5
2015/11/19, 64, 40, 36, 32, 6, 4
2015/11/20, 89, 45, 41, 30, 5, 4
2015/11/21, 94, 38, 42, 25, 4, 4
2015/11/22, 86, 40, 39, 43, 5, 5
2015/11/23, 86, 34, 39, 32, 3, 4
2015/11/24, 72, 39, 38, 49, 4, 6
2015/11/25, 80, 29, 25, 50, 5, 5
2015/11/26, 57, 33, 34, 36, 8, 3
2015/11/27, 68, 44, 37, 31, 8, 3
2015/11/28, 87, 57, 51, 51, 6, 5
2015/11/29, 118, 72, 35, 54, 9, 7
2015/11/30, 156, 42, 36, 34, 8, 4
2015/12/1, 98, 43, 31, 42, 8, 5
2015/12/2, 90, 33, 12, 32, 6, 6
2015/12/3, 75, 29, 15, 26, 5, 5
2015/12/4, 68, 41, 21, 27, 5, 5
2015/12/5, 80, 17, 13, 33, 5, 5
2015/12/6, 44, 29, 12, 39, 6, 5
2015/12/7, 65, 29, 12, 33, 6, 5
2015/12/8, 68, 22, 16, 32, 3, 5
2015/12/9, 63, 30, 6, 43, 6, 7
2015/12/10, 73, 25, 16, 37, 4, 5
2015/12/11, 59, 42, 25, 28, 3, 4
2015/12/12, 85, 46, 31, 25, 3, 4
2015/12/13, 98, 41, 29, 44, 5, 7
2015/12/14, 88, 34, 14, 42, 5, 7
2015/12/15, 78, 57, 31, 49, 9, 6
2015/12/16, 127, 41, 31, 50, 8, 3
2015/12/17, 74, 45, 28, 50, 11, 4
2015/12/18, 86, 49, 23, 50, 10, 4
2015/12/19, 98, 48, 24, 39, 10, 4
