date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210127,18,O3,20,22,23,26,32,18,22,22,24,29,24,26,26,32,44,51,56,36,43,29,50,25,21,30,32,18,16,9,10,6,2,32,35,17,36
20210127,18,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,18,CO,1.4,1.5,1.4,1.3,1.1,1.4,1.2,1.3,1.2,1.2,1.2,1.3,1.2,1.1,1,0.7,0.8,1.4,1.3,1,0.8,1.6,1.6,1.2,1.2,1.5,1.6,1.8,1.5,1.4,2.3,1,0.9,0.8,1.1
20210127,18,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,21,SO2,3,3,2,1,4,3,4,1,2,3,2,2,3,2,3,1,2,3,2,3,1,1,4,1,3,4,5,1,2,4,7,3,3,1,1
20210127,21,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,21,NO2,9,9,8,7,9,12,8,3,8,9,9,,12,8,3,3,6,2,3,6,3,11,10,9,5,10,5,11,9,10,34,7,12,13,6
20210127,21,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,21,O3,64,68,66,67,67,69,68,67,68,73,62,68,62,64,72,79,81,77,79,73,73,65,62,69,69,60,62,63,64,63,39,70,81,74,82
20210127,21,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,21,CO,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.4,0.3,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.3,0.5,0.3,0.1,0.8,0.2,0.2,0.3,0.2
20210127,21,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,22,SO2,3,3,2,1,3,3,2,1,1,3,1,1,3,1,3,3,2,3,2,3,3,3,1,3,3,3,4,1,1,3,3,2,1,3,1
20210127,22,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,22,NO2,9,9,8,7,10,8,8,3,7,7,6,5,7,4,2,2,6,2,4,9,2,4,7,9,5,13,9,10,8,7,12,6,12,11,6
20210127,22,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,22,O3,63,68,64,66,64,68,66,66,66,73,64,,69,68,70,77,79,77,78,68,72,74,67,67,69,55,57,61,65,65,60,70,81,75,83
20210127,22,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,22,CO,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.2,,0.3,0.2,0.2,0.3,0.2
20210127,22,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,23,SO2,1,3,3,3,2,2,1,3,3,2,3,3,3,3,3,3,1,3,2,3,3,3,1,3,3,2,2,3,1,2,2,1,1,1,1
20210127,23,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,23,NO2,8,7,5,6,7,6,7,2,6,6,4,3,5,3,2,2,6,2,3,5,2,2,7,9,4,10,5,7,9,5,14,5,11,10,6
20210127,23,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,23,O3,63,69,66,67,65,69,67,66,65,72,65,68,69,68,69,75,78,75,76,70,72,76,68,67,69,60,60,64,64,66,57,70,80,75,81
20210127,23,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,23,CO,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.3,0.2,0.2,0.2,0.3,0.2
