"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/11/2011","51","PM2.5","Belle Glade","12-099-0008","AQS"
"02/12/2011","50","PM2.5","U of F Ag Research Center","12-011-1002","AQS"
"02/13/2011","44","Ozone","Rosenstiel","12-086-0027","AQS"
"02/14/2011","48","PM2.5","Belle Glade","12-099-0008","AQS"
"02/15/2011","99","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"02/16/2011","63","PM2.5","Belle Glade","12-099-0008","AQS"
"02/17/2011","48","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/18/2011","44","Ozone","Rosenstiel","12-086-0027","AQS"
"02/19/2011","44","Ozone","Royal Palm Beach","12-099-0009","AQS"
"02/20/2011","62","PM2.5","Belle Glade","12-099-0008","AQS"
"02/21/2011","54","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/22/2011","51","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/23/2011","61","PM2.5","Belle Glade","12-099-0008","AQS"
"02/24/2011","57","PM2.5","Miami Fire Station","12-086-1016","AQS"
"02/25/2011","46","PM2.5","Belle Glade","12-099-0008","AQS"
"02/26/2011","51","PM2.5","Miami Fire Station","12-086-1016","AQS"
"02/27/2011","38","PM2.5","Miami Fire Station","12-086-1016","AQS"
"02/28/2011","41","Ozone","Royal Palm Beach","12-099-0009","AQS"
"03/01/2011","50","PM2.5","Miami Fire Station","12-086-1016","AQS"
"03/02/2011","48","Ozone","Rosenstiel","12-086-0027","AQS"
"03/03/2011","47","Ozone","Rosenstiel","12-086-0027","AQS"
"03/04/2011","47","Ozone","Rosenstiel","12-086-0027","AQS"
"03/05/2011","52","PM2.5","Miami Fire Station","12-086-1016","AQS"
"03/06/2011","38","PM2.5","U of F Ag Research Center","12-011-1002","AQS"
"03/07/2011","61","Ozone","Perdue","12-086-0029","AQS"
"03/08/2011","45","Ozone","AG Holley","12-099-0020","AQS"
"03/09/2011","43","Ozone","AG Holley","12-099-0020","AQS"
"03/10/2011","35","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/11/2011","50","NO2","Lab Annex","12-086-4002","AQS"
"03/12/2011","54","Ozone","Royal Palm Beach","12-099-0009","AQS"
