Date,Nitrogen Dioxide AQI Value,Site Name,Site ID,Source
12/11/2018,57,Long Beach-route 710 Near Road,06-037-4008,AQS
12/12/2018,53,Long Beach-route 710 Near Road,06-037-4008,AQS
12/13/2018,71,Long Beach-route 710 Near Road,06-037-4008,AQS
12/14/2018,78,Long Beach-route 710 Near Road,06-037-4008,AQS
12/15/2018,46,Long Beach-route 710 Near Road,06-037-4008,AQS
12/16/2018,41,Pomona,06-037-1701,AQS
12/17/2018,38,Long Beach-route 710 Near Road,06-037-4008,AQS
12/18/2018,47,Long Beach-route 710 Near Road,06-037-4008,AQS
12/19/2018,68,Long Beach-route 710 Near Road,06-037-4008,AQS
12/20/2018,81,Long Beach-route 710 Near Road,06-037-4008,AQS
12/21/2018,56,Long Beach-route 710 Near Road,06-037-4008,AQS
12/22/2018,51,Pico Rivera #2,06-037-1602,AQS
12/23/2018,44,Los Angeles-north Main Street,06-037-1103,AQS
12/24/2018,36,Lax Hastings,06-037-5005,AQS
12/25/2018,29,Anaheim,06-059-0007,AQS
12/26/2018,41,Long Beach-route 710 Near Road,06-037-4008,AQS
12/27/2018,37,Long Beach-route 710 Near Road,06-037-4008,AQS
12/28/2018,57,Long Beach-route 710 Near Road,06-037-4008,AQS
12/29/2018,55,Long Beach-route 710 Near Road,06-037-4008,AQS
12/30/2018,37,Long Beach-route 710 Near Road,06-037-4008,AQS
12/31/2018,42,Long Beach-route 710 Near Road,06-037-4008,AQS
01/01/2019,37,Long Beach-route 710 Near Road,06-037-4008,AQS
01/02/2019,68,Long Beach-route 710 Near Road,06-037-4008,AQS
01/03/2019,64,Long Beach-route 710 Near Road,06-037-4008,AQS
01/04/2019,61,Long Beach-route 710 Near Road,06-037-4008,AQS
01/05/2019,44,Long Beach-route 710 Near Road,06-037-4008,AQS
01/06/2019,33,Long Beach-route 710 Near Road,06-037-4008,AQS
01/07/2019,53,Long Beach-route 710 Near Road,06-037-4008,AQS
01/08/2019,53,Long Beach-route 710 Near Road,06-037-4008,AQS
01/09/2019,48,Long Beach-route 710 Near Road,06-037-4008,AQS
01/10/2019,47,Long Beach-route 710 Near Road,06-037-4008,AQS
01/11/2019,35,Pomona,06-037-1701,AQS
01/12/2019,36,Long Beach-route 710 Near Road,06-037-4008,AQS
01/13/2019,45,Lax Hastings,06-037-5005,AQS
01/14/2019,43,Long Beach-route 710 Near Road,06-037-4008,AQS
01/15/2019,42,Long Beach-route 710 Near Road,06-037-4008,AQS
