Date,PM10 AQI Value,Site Name,Site ID,Source
04/04/2012,31,Long Beach (north),06-037-4002,AQS
04/05/2012,32,Long Beach (north),06-037-4002,AQS
04/06/2012,33,Long Beach (north),06-037-4002,AQS
04/07/2012,27,Long Beach (north),06-037-4002,AQS
04/08/2012,30,Long Beach (north),06-037-4002,AQS
04/09/2012,37,Azusa,06-037-0002,AQS
04/10/2012,27,Glendora,06-037-0016,AQS
04/11/2012,8,Long Beach (north),06-037-4002,AQS
04/12/2012,13,Long Beach (north),06-037-4002,AQS
04/13/2012,12,Long Beach (north),06-037-4002,AQS
04/14/2012,19,Long Beach (north),06-037-4002,AQS
04/15/2012,25,Long Beach (north),06-037-4002,AQS
04/16/2012,32,Long Beach (north),06-037-4002,AQS
04/17/2012,32,Long Beach (north),06-037-4002,AQS
04/18/2012,30,Long Beach (north),06-037-4002,AQS
04/19/2012,40,Glendora,06-037-0016,AQS
04/20/2012,40,Glendora,06-037-0016,AQS
04/21/2012,51,Glendora,06-037-0016,AQS
04/22/2012,39,Glendora,06-037-0016,AQS
04/23/2012,18,Glendora,06-037-0016,AQS
04/24/2012,19,Glendora,06-037-0016,AQS
04/25/2012,24,Glendora,06-037-0016,AQS
04/26/2012,9,Long Beach (north),06-037-4002,AQS
04/27/2012,22,Long Beach (south),06-037-4004,AQS
04/28/2012,28,Long Beach (north),06-037-4002,AQS
04/29/2012,31,Glendora,06-037-0016,AQS
04/30/2012,38,Glendora,06-037-0016,AQS
05/01/2012,22,Glendora,06-037-0016,AQS
05/02/2012,18,Glendora,06-037-0016,AQS
05/03/2012,24,Glendora,06-037-0016,AQS
05/04/2012,30,Glendora,06-037-0016,AQS
05/05/2012,32,Glendora,06-037-0016,AQS
05/06/2012,37,Glendora,06-037-0016,AQS
05/07/2012,44,Glendora,06-037-0016,AQS
05/08/2012,44,Glendora,06-037-0016,AQS
05/09/2012,55,Azusa,06-037-0002,AQS
05/10/2012,47,Glendora,06-037-0016,AQS
05/11/2012,44,Glendora,06-037-0016,AQS
