date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210202,19,NO2,27,28,34,37,33,23,43,37,52,24,22,34,21,27,7,3,7,56,37,40,23,27,27,51,35,32,23,39,31,28,29,41,24,47,16
20210202,19,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,19,O3,34,35,30,30,34,41,26,22,17,40,35,31,40,37,49,70,71,20,31,26,39,41,33,21,31,40,41,30,36,39,51,28,35,30,47
20210202,19,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,19,CO,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.3,0.4,0.8,0.6,0.7,0.6,0.4,0.4,0.5,0.6,0.4,0.4,0.7,0.4,0.5,0.4,0.5,0.8,0.4,0.4
20210202,19,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,20,SO2,2,1,3,2,3,3,3,2,2,2,2,3,3,1,3,3,5,5,3,6,4,3,2,2,1,2,2,2,2,3,2,8,9,4,5
20210202,20,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,20,NO2,33,39,42,42,36,27,50,40,64,23,21,38,23,23,,4,7,61,32,44,24,30,35,59,30,42,28,55,36,33,39,49,30,67,13
20210202,20,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,20,O3,27,26,22,24,31,33,18,20,5,37,35,27,35,38,41,69,69,13,32,17,36,31,21,12,34,28,34,15,25,33,34,13,23,11,50
20210202,20,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,20,CO,0.5,0.5,0.5,0.6,0.4,0.5,0.6,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.3,0.4,1,0.6,0.8,0.6,0.6,0.7,0.6,0.5,0.5,0.4,0.8,0.4,0.5,0.4,0.8,1.1,0.5,0.4
20210202,20,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,21,SO2,3,1,3,2,3,3,3,2,2,2,1,3,3,1,3,4,5,2,2,9,4,3,1,2,2,1,2,2,1,3,2,5,1,4,6
20210202,21,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,21,NO2,35,49,47,51,44,31,48,51,70,16,32,36,20,23,17,11,20,52,26,53,21,20,36,65,34,57,50,66,44,34,58,39,34,73,31
20210202,21,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,21,O3,23,15,16,16,22,28,17,5,1,41,20,28,37,35,43,56,47,11,30,7,38,35,14,5,27,13,10,6,15,31,5,19,14,3,28
20210202,21,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
