province,date,CO,NO2,NOx,O3,PM10,PM25
Milano,2020-10-27,765.8333333333333,37.53958333333333,79.51666666666665,22.3975,35.0,22.8
Milano,2020-10-28,775.4166666666667,37.271249999999995,82.33416666666668,22.36,35.86666666666667,23.916666666666664
Milano,2020-10-29,785.4166666666667,36.827083333333334,81.48333333333332,21.593333333333334,36.233333333333334,24.833333333333332
Milano,2020-10-30,785.8333333333333,36.4525,80.72583333333333,21.60333333333333,37.633333333333326,28.383333333333333
Milano,2020-10-31,780.0,36.542500000000004,80.7,21.8,39.516666666666666,29.65
Milano,2020-11-01,768.3333333333334,36.952083333333334,80.96166666666667,22.02916666666667,40.8,30.533333333333328
Milano,2020-11-02,766.6666666666666,36.74791666666667,81.84291666666667,22.083333333333336,41.5,28.266666666666666
Milano,2020-11-03,779.5833333333333,37.634166666666665,85.16583333333332,22.201666666666668,41.916666666666664,28.299999999999997
Milano,2020-11-04,758.3333333333333,37.67708333333333,86.96083333333334,22.160833333333333,41.49166666666667,28.06666666666667
Milano,2020-11-05,763.75,39.20583333333333,87.38625,22.125833333333333,40.13333333333333,27.53333333333333
Milano,2020-11-06,758.75,35.875,87.15333333333334,22.484166666666667,38.69166666666666,29.166666666666668
Milano,2020-11-07,759.5833333333333,37.48375,86.6,22.895,39.46666666666666,27.25
Milano,2020-11-08,767.0833333333334,37.805416666666666,87.24166666666667,23.041666666666664,39.425,27.4
Milano,2020-11-09,773.3333333333333,37.992083333333326,90.07666666666665,23.009166666666665,39.650000000000006,27.983333333333334
Milano,2020-11-10,809.5833333333333,38.042500000000004,96.4075,22.569166666666664,40.8,29.016666666666666
Milano,2020-11-11,858.75,39.57833333333333,104.91416666666666,21.50916666666667,43.083333333333336,30.75
